path,source_url,license,redistribution_confirmed,verification_notes
assets/icons/person-circle-outline.svg,https://www.npmjs.com/package/ionicons/v/5.5.4,MIT,yes_with_license_notice,SVG geometry and non-color attributes match official distribution; package/dist/svg/person-circle-outline.svg
assets/icons/shirt.svg,https://www.npmjs.com/package/ionicons/v/5.5.4,MIT,yes_with_license_notice,SVG geometry and non-color attributes match official distribution; package/dist/svg/shirt.svg
assets/icons/star-outline.svg,https://www.npmjs.com/package/ionicons/v/5.5.4,MIT,yes_with_license_notice,SVG geometry and non-color attributes match official distribution; package/dist/svg/star-outline.svg
assets/icons/star.svg,https://www.npmjs.com/package/ionicons/v/5.5.4,MIT,yes_with_license_notice,SVG geometry and non-color attributes match official distribution; package/dist/svg/star.svg
assets/icons/sync-circle-gray.svg,https://www.npmjs.com/package/ionicons/v/5.5.4,MIT,yes_with_license_notice,SVG geometry and non-color attributes match official distribution; package/dist/svg/sync-circle-outline.svg
assets/icons/sync-circle-green.svg,https://www.npmjs.com/package/ionicons/v/5.5.4,MIT,yes_with_license_notice,SVG geometry and non-color attributes match official distribution; package/dist/svg/sync-circle-outline.svg
assets/images/android-icon-background.png,https://www.npmjs.com/package/expo-template-default/v/57.0.23,MIT (bundled LICENSE; package metadata says 0BSD),yes_with_license_notice,SHA-256 identical to official template; package/assets/images/android-icon-background.png
assets/images/android-icon-foreground.png,https://www.npmjs.com/package/expo-template-default/v/57.0.23,MIT (bundled LICENSE; package metadata says 0BSD),yes_with_license_notice,SHA-256 identical to official template; package/assets/images/android-icon-foreground.png
assets/images/android-icon-monochrome.png,https://www.npmjs.com/package/expo-template-default/v/57.0.23,MIT (bundled LICENSE; package metadata says 0BSD),yes_with_license_notice,SHA-256 identical to official template; package/assets/images/android-icon-monochrome.png
assets/images/favicon.png,https://www.npmjs.com/package/expo-template-default/v/57.0.23,MIT (bundled LICENSE; package metadata says 0BSD),yes_with_license_notice,SHA-256 identical to official template; package/assets/images/favicon.png
assets/images/icon.png,,,pending,Original source and redistribution evidence still required
assets/images/partial-react-logo.png,,,pending,Original source and redistribution evidence still required
assets/images/react-logo.png,https://www.npmjs.com/package/expo-template-default/v/57.0.23,MIT (bundled LICENSE; package metadata says 0BSD),yes_with_license_notice,SHA-256 identical to official template; package/assets/images/react-logo.png
assets/images/react-logo@2x.png,https://www.npmjs.com/package/expo-template-default/v/57.0.23,MIT (bundled LICENSE; package metadata says 0BSD),yes_with_license_notice,SHA-256 identical to official template; package/assets/images/react-logo@2x.png
assets/images/react-logo@3x.png,https://www.npmjs.com/package/expo-template-default/v/57.0.23,MIT (bundled LICENSE; package metadata says 0BSD),yes_with_license_notice,SHA-256 identical to official template; package/assets/images/react-logo@3x.png
assets/images/splash-icon.png,,,pending,Original source and redistribution evidence still required
assets/splash.png,,,pending,Original source and redistribution evidence still required
